countyname_fips,state,fipscounty,fy2023cbsa,fy2023cbsaname,ssa_code,state_name,countyname_rate
FAYETTE,AL,01057,,,01280,ALABAMA,FAYETTE
FRANKLIN,AL,01059,,,01290,ALABAMA,FRANKLIN
GENEVA,AL,01061,20020.0,"Dothan, AL",01300,ALABAMA,GENEVA
GREENE,AL,01063,46220.0,"Tuscaloosa, AL",01310,ALABAMA,GREENE
HALE,AL,01065,46220.0,"Tuscaloosa, AL",01320,ALABAMA,HALE
HENRY,AL,01067,20020.0,"Dothan, AL",01330,ALABAMA,HENRY
HOUSTON,AL,01069,20020.0,"Dothan, AL",01340,ALABAMA,HOUSTON
JACKSON,AL,01071,,,01350,ALABAMA,JACKSON
JEFFERSON,AL,01073,13820.0,"Birmingham-Hoover, AL",01360,ALABAMA,JEFFERSON
LAMAR,AL,01075,,,01370,ALABAMA,LAMAR
LAUDERDALE,AL,01077,22520.0,"Florence-Muscle Shoals, AL",01380,ALABAMA,LAUDERDALE
LAWRENCE,AL,01079,19460.0,"Decatur, AL",01390,ALABAMA,LAWRENCE
LEE,AL,01081,12220.0,"Auburn-Opelika, AL",01400,ALABAMA,LEE
LIMESTONE,AL,01083,26620.0,"Huntsville, AL",01410,ALABAMA,LIMESTONE
LOWNDES,AL,01085,33860.0,"Montgomery, AL",01420,ALABAMA,LOWNDES
MACON,AL,01087,,,01430,ALABAMA,MACON
MADISON,AL,01089,26620.0,"Huntsville, AL",01440,ALABAMA,MADISON
MARENGO,AL,01091,,,01450,ALABAMA,MARENGO
MARION,AL,01093,,,01460,ALABAMA,MARION
MARSHALL,AL,01095,,,01470,ALABAMA,MARSHALL
MOBILE,AL,01097,33660.0,"Mobile, AL",01480,ALABAMA,MOBILE
MONROE,AL,01099,,,01490,ALABAMA,MONROE
MONTGOMERY,AL,01101,33860.0,"Montgomery, AL",01500,ALABAMA,MONTGOMERY
MORGAN,AL,01103,19460.0,"Decatur, AL",01510,ALABAMA,MORGAN
PERRY,AL,01105,,,01520,ALABAMA,PERRY
PICKENS,AL,01107,46220.0,"Tuscaloosa, AL",01530,ALABAMA,PICKENS
PIKE,AL,01109,,,01540,ALABAMA,PIKE
RANDOLPH,AL,01111,,,01550,ALABAMA,RANDOLPH
RUSSELL,AL,01113,17980.0,"Columbus, GA-AL",01560,ALABAMA,RUSSELL
ST. CLAIR,AL,01115,13820.0,"Birmingham-Hoover, AL",01570,ALABAMA,ST. CLAIR
SHELBY,AL,01117,13820.0,"Birmingham-Hoover, AL",01580,ALABAMA,SHELBY
SUMTER,AL,01119,,,01590,ALABAMA,SUMTER
TALLADEGA,AL,01121,,,01600,ALABAMA,TALLADEGA
TALLAPOOSA,AL,01123,,,01610,ALABAMA,TALLAPOOSA
TUSCALOOSA,AL,01125,46220.0,"Tuscaloosa, AL",01620,ALABAMA,TUSCALOOSA
WALKER,AL,01127,,,01630,ALABAMA,WALKER
WASHINGTON,AL,01129,33660.0,"Mobile, AL",01640,ALABAMA,WASHINGTON
WILCOX,AL,01131,,,01650,ALABAMA,WILCOX
WINSTON,AL,01133,,,01660,ALABAMA,WINSTON
STATEWIDE,AL,01990,,,,,
ALEUTIANS EAST,AK,02013,,,02013,ALASKA,ALEUTIANS EAST
ALEUTIANS EAST,AK,02013,,,02016,ALASKA,ALEUTIANS WEST
ALEUTIANS WEST,AK,02016,,,02013,ALASKA,ALEUTIANS EAST
ALEUTIANS WEST,AK,02016,,,02016,ALASKA,ALEUTIANS WEST
ANCHORAGE,AK,02020,11260.0,"Anchorage, AK",02020,ALASKA,ANCHORAGE
BETHEL,AK,02050,,,02050,ALASKA,BETHEL
BRISTOL BAY BOROUGH,AK,02060,,,02060,ALASKA,BRISTOL BAY
CHUGACH CENSUS AREA,AK,02063,,,02261,ALASKA,VALDEZ-CORDOVA
COPPER RIVER CENSUS AREA,AK,02066,,,02261,ALASKA,VALDEZ-CORDOVA
DENALI,AK,02068,,,02068,ALASKA,DENALI
DILLINGHAM,AK,02070,,,02070,ALASKA,DILLINGHAM
FAIRBANKS NORTH STAR,AK,02090,21820.0,"Fairbanks, AK",02090,ALASKA,FAIRBANKS NORTH STAR
HAINES,AK,02100,,,02100,ALASKA,HAINES
HOONAH-ANGOON CENSUS AREA,AK,02105,,,02105,ALASKA,HOONAH-ANGOON
JUNEAU,AK,02110,,,02110,ALASKA,JUNEAU
KENAI PENINSULA,AK,02122,,,02122,ALASKA,KENAI PENINSULA
KETCHIKAN GATEWAY,AK,02130,,,02130,ALASKA,KETCHIKAN GATEWAY
KODIAK ISLAND BOROUGH,AK,02150,,,02150,ALASKA,KODIAK ISLAND
LAKE AND PENINSULA,AK,02164,,,02164,ALASKA,LAKE AND PENINSULA
MATANUSKA-SUSITNA,AK,02170,11260.0,"Anchorage, AK",02170,ALASKA,MATANUSKA-SUSITNA
NOME,AK,02180,,,02180,ALASKA,NOME
NORTH SLOPE BOROUH,AK,02185,,,02185,ALASKA,NORTH SLOPE
NORTHWEST ARTIC BOROUGH,AK,02188,,,02188,ALASKA,NORTHWEST ARCTIC
PETERSBURG BOROUGH,AK,02195,,,02195,ALASKA,PETERSBURG
PR.OF WALES-HYDER CNS AREA,AK,02198,,,02198,ALASKA,PRINCE OF WALES-HYDER
SITKA BOROUGH,AK,02220,,,02220,ALASKA,SITKA
SKAGWAY-YAKUTAT,AK,02230,,,02230,ALASKA,SKAGWAY
SOUTHEAST FAIRBANKS,AK,02240,,,02240,ALASKA,SOUTHEAST FAIRBANKS
WADE HAMPTON,AK,02270,,,02270,ALASKA,WADE HAMPTON (KUSILVAK)
WRANGELL CITY AND BOROUGH,AK,02275,,,02275,ALASKA,WRANGELL
YAKUTAT BOROUGH,AK,02282,,,02282,ALASKA,YAKUTAT
YUKON-KOYUKUK,AK,02290,,,02290,ALASKA,YUKON-KOYUKUK
STATEWIDE,AK,02990,,,,,
APACHE,AZ,04001,,,03000,ARIZONA,APACHE
COCHISE,AZ,04003,43420.0,"Sierra Vista-Douglas, AZ",03010,ARIZONA,COCHISE
COCONINO,AZ,04005,22380.0,"Flagstaff, AZ",03020,ARIZONA,COCONINO
GILA,AZ,04007,,,03030,ARIZONA,GILA
GRAHAM,AZ,04009,,,03040,ARIZONA,GRAHAM
GREENLEE,AZ,04011,,,03050,ARIZONA,GREENLEE
LAPAZ,AZ,04012,,,03055,ARIZONA,LA PAZ
MARICOPA,AZ,04013,38060.0,"Phoenix-Mesa-Chandler, AZ",03060,ARIZONA,MARICOPA
MOHAVE,AZ,04015,29420.0,"Lake Havasu City-Kingman, AZ",03070,ARIZONA,MOHAVE
NAVAJO,AZ,04017,,,03080,ARIZONA,NAVAJO
PIMA,AZ,04019,46060.0,"Tucson, AZ",03090,ARIZONA,PIMA
PINAL,AZ,04021,38060.0,"Phoenix-Mesa-Chandler, AZ",03100,ARIZONA,PINAL
SANTA CRUZ,AZ,04023,,,03110,ARIZONA,SANTA CRUZ
YAVAPAI,AZ,04025,39150.0,"Prescott Valley-Prescott, AZ",03120,ARIZONA,YAVAPAI
YUMA,AZ,04027,49740.0,"Yuma, AZ",03130,ARIZONA,YUMA
STATEWIDE,AZ,04990,,,,,
ARKANSAS,AR,05001,,,04000,ARKANSAS,ARKANSAS
ASHLEY,AR,05003,,,04010,ARKANSAS,ASHLEY
BAXTER,AR,05005,,,04020,ARKANSAS,BAXTER
BENTON,AR,05007,22220.0,"Fayetteville-Springdale-Rogers, AR",04030,ARKANSAS,BENTON
BOONE,AR,05009,,,04040,ARKANSAS,BOONE
BRADLEY,AR,05011,,,04050,ARKANSAS,BRADLEY
CALHOUN,AR,05013,,,04060,ARKANSAS,CALHOUN
CARROLL,AR,05015,,,04070,ARKANSAS,CARROLL
CHICOT,AR,05017,,,04080,ARKANSAS,CHICOT
CLARK,AR,05019,,,04090,ARKANSAS,CLARK
CLAY,AR,05021,,,04100,ARKANSAS,CLAY
CLEBURNE,AR,05023,,,04110,ARKANSAS,CLEBURNE
CLEVELAND,AR,05025,38220.0,"Pine Bluff, AR",04120,ARKANSAS,CLEVELAND
COLUMBIA,AR,05027,,,04130,ARKANSAS,COLUMBIA
CONWAY,AR,05029,,,04140,ARKANSAS,CONWAY
CRAIGHEAD,AR,05031,27860.0,"Jonesboro, AR",04150,ARKANSAS,CRAIGHEAD
CRAWFORD,AR,05033,22900.0,"Fort Smith, AR-OK",04160,ARKANSAS,CRAWFORD
CRITTENDEN,AR,05035,32820.0,"Memphis, TN-MS-AR",04170,ARKANSAS,CRITTENDEN
CROSS,AR,05037,,,04180,ARKANSAS,CROSS
DALLAS,AR,05039,,,04190,ARKANSAS,DALLAS
DESHA,AR,05041,,,04200,ARKANSAS,DESHA
DREW,AR,05043,,,04210,ARKANSAS,DREW
FAULKNER,AR,05045,30780.0,"Little Rock-North Little Rock-Conway, AR",04220,ARKANSAS,FAULKNER
FRANKLIN,AR,05047,22900.0,"Fort Smith, AR-OK",04230,ARKANSAS,FRANKLIN
FULTON,AR,05049,,,04240,ARKANSAS,FULTON
GARLAND,AR,05051,26300.0,"Hot Springs, AR",04250,ARKANSAS,GARLAND
GRANT,AR,05053,30780.0,"Little Rock-North Little Rock-Conway, AR",04260,ARKANSAS,GRANT
GREENE,AR,05055,,,04270,ARKANSAS,GREENE
HEMPSTEAD,AR,05057,,,04280,ARKANSAS,HEMPSTEAD
HOT SPRING,AR,05059,,,04290,ARKANSAS,HOT SPRING
HOWARD,AR,05061,,,04300,ARKANSAS,HOWARD
INDEPENDENCE,AR,05063,,,04310,ARKANSAS,INDEPENDENCE
IZARD,AR,05065,,,04320,ARKANSAS,IZARD
JACKSON,AR,05067,,,04330,ARKANSAS,JACKSON
JEFFERSON,AR,05069,38220.0,"Pine Bluff, AR",04340,ARKANSAS,JEFFERSON
JOHNSON,AR,05071,,,04350,ARKANSAS,JOHNSON
LAFAYETTE,AR,05073,,,04360,ARKANSAS,LAFAYETTE
LAWRENCE,AR,05075,,,04370,ARKANSAS,LAWRENCE
LEE,AR,05077,,,04380,ARKANSAS,LEE
LINCOLN,AR,05079,38220.0,"Pine Bluff, AR",04390,ARKANSAS,LINCOLN
LITTLE RIVER,AR,05081,45500.0,"Texarkana, TX-AR",04400,ARKANSAS,LITTLE RIVER
LOGAN,AR,05083,,,04410,ARKANSAS,LOGAN
LONOKE,AR,05085,30780.0,"Little Rock-North Little Rock-Conway, AR",04420,ARKANSAS,LONOKE
MADISON,AR,05087,22220.0,"Fayetteville-Springdale-Rogers, AR",04430,ARKANSAS,MADISON
MARION,AR,05089,,,04440,ARKANSAS,MARION
MILLER,AR,05091,45500.0,"Texarkana, TX-AR",04450,ARKANSAS,MILLER
MISSISSIPPI,AR,05093,,,04460,ARKANSAS,MISSISSIPPI
MONROE,AR,05095,,,04470,ARKANSAS,MONROE
MONTGOMERY,AR,05097,,,04480,ARKANSAS,MONTGOMERY
NEVADA,AR,05099,,,04490,ARKANSAS,NEVADA
NEWTON,AR,05101,,,04500,ARKANSAS,NEWTON
OUACHITA,AR,05103,,,04510,ARKANSAS,OUACHITA
PERRY,AR,05105,30780.0,"Little Rock-North Little Rock-Conway, AR",04520,ARKANSAS,PERRY
PHILLIPS,AR,05107,,,04530,ARKANSAS,PHILLIPS
PIKE,AR,05109,,,04540,ARKANSAS,PIKE
POINSETT,AR,05111,27860.0,"Jonesboro, AR",04550,ARKANSAS,POINSETT
POLK,AR,05113,,,04560,ARKANSAS,POLK
POPE,AR,05115,,,04570,ARKANSAS,POPE
PRAIRIE,AR,05117,,,04580,ARKANSAS,PRAIRIE
PULASKI,AR,05119,30780.0,"Little Rock-North Little Rock-Conway, AR",04590,ARKANSAS,PULASKI
RANDOLPH,AR,05121,,,04600,ARKANSAS,RANDOLPH
ST. FRANCIS,AR,05123,,,04610,ARKANSAS,ST. FRANCIS
SALINE,AR,05125,30780.0,"Little Rock-North Little Rock-Conway, AR",04620,ARKANSAS,SALINE
SCOTT,AR,05127,,,04630,ARKANSAS,SCOTT
SEARCY,AR,05129,,,04640,ARKANSAS,SEARCY
SEBASTIAN,AR,05131,22900.0,"Fort Smith, AR-OK",04650,ARKANSAS,SEBASTIAN
SEVIER,AR,05133,,,04660,ARKANSAS,SEVIER
SHARP,AR,05135,,,04670,ARKANSAS,SHARP
STONE,AR,05137,,,04680,ARKANSAS,STONE
UNION,AR,05139,,,04690,ARKANSAS,UNION
VAN BUREN,AR,05141,,,04700,ARKANSAS,VAN BUREN
WASHINGTON,AR,05143,22220.0,"Fayetteville-Springdale-Rogers, AR",04710,ARKANSAS,WASHINGTON
WHITE,AR,05145,,,04720,ARKANSAS,WHITE
WOODRUFF,AR,05147,,,04730,ARKANSAS,WOODRUFF
YELL,AR,05149,,,04740,ARKANSAS,YELL
STATEWIDE,AR,05990,,,,,
ALAMEDA,CA,06001,36084.0,"Oakland-Berkeley-Livermore, CA",05000,CALIFORNIA,ALAMEDA
ALPINE,CA,06003,,,05010,CALIFORNIA,ALPINE
AMADOR,CA,06005,,,05020,CALIFORNIA,AMADOR
BUTTE,CA,06007,17020.0,"Chico, CA",05030,CALIFORNIA,BUTTE
CALAVERAS,CA,06009,,,05040,CALIFORNIA,CALAVERAS
COLUSA,CA,06011,,,05050,CALIFORNIA,COLUSA
CONTRA COSTA,CA,06013,36084.0,"Oakland-Berkeley-Livermore, CA",05060,CALIFORNIA,CONTRA COSTA
DEL NORTE,CA,06015,,,05070,CALIFORNIA,DEL NORTE
EL DORADO,CA,06017,40900.0,"Sacramento-Roseville-Folsom, CA",05080,CALIFORNIA,EL DORADO
FRESNO,CA,06019,23420.0,"Fresno, CA",05090,CALIFORNIA,FRESNO
GLENN,CA,06021,,,05100,CALIFORNIA,GLENN
HUMBOLDT,CA,06023,,,05110,CALIFORNIA,HUMBOLDT
IMPERIAL,CA,06025,20940.0,"El Centro, CA",05120,CALIFORNIA,IMPERIAL
INYO,CA,06027,,,05130,CALIFORNIA,INYO
KERN,CA,06029,12540.0,"Bakersfield, CA",05140,CALIFORNIA,KERN
KINGS,CA,06031,25260.0,"Hanford-Corcoran, CA",05150,CALIFORNIA,KINGS
LAKE,CA,06033,,,05160,CALIFORNIA,LAKE
LASSEN,CA,06035,,,05170,CALIFORNIA,LASSEN
LOS ANGELES,CA,06037,31084.0,"Los Angeles-Long Beach-Glendale, CA",05200,CALIFORNIA,LOS ANGELES
LOS ANGELES,CA,06037,31084.0,"Los Angeles-Long Beach-Glendale, CA",05210,CALIFORNIA,LOS ANGELES
LOS ANGELES,CA,06037,31084.0,"Los Angeles-Long Beach-Glendale, CA",05200,CALIFORNIA,LOS ANGELES
LOS ANGELES,CA,06037,31084.0,"Los Angeles-Long Beach-Glendale, CA",05210,CALIFORNIA,LOS ANGELES
MADERA,CA,06039,31460.0,"Madera, CA",05300,CALIFORNIA,MADERA
MARIN,CA,06041,42034.0,"San Rafael, CA",05310,CALIFORNIA,MARIN
MARIPOSA,CA,06043,,,05320,CALIFORNIA,MARIPOSA
MENDOCINO,CA,06045,,,05330,CALIFORNIA,MENDOCINO
MERCED,CA,06047,32900.0,"Merced, CA",05340,CALIFORNIA,MERCED
MODOC,CA,06049,,,05350,CALIFORNIA,MODOC
MONO,CA,06051,,,05360,CALIFORNIA,MONO
MONTEREY,CA,06053,41500.0,"Salinas, CA",05370,CALIFORNIA,MONTEREY
NAPA,CA,06055,34900.0,"Napa, CA",05380,CALIFORNIA,NAPA
NEVADA,CA,06057,,,05390,CALIFORNIA,NEVADA
ORANGE,CA,06059,11244.0,"Anaheim-Santa Ana-Irvine, CA",05400,CALIFORNIA,ORANGE
PLACER,CA,06061,40900.0,"Sacramento-Roseville-Folsom, CA",05410,CALIFORNIA,PLACER
PLUMAS,CA,06063,,,05420,CALIFORNIA,PLUMAS
RIVERSIDE,CA,06065,40140.0,"Riverside-San Bernardino-Ontario, CA",05430,CALIFORNIA,RIVERSIDE
SACRAMENTO,CA,06067,40900.0,"Sacramento-Roseville-Folsom, CA",05440,CALIFORNIA,SACRAMENTO
SAN BENITO,CA,06069,41940.0,"San Jose-Sunnyvale-Santa Clara, CA",05450,CALIFORNIA,SAN BENITO
SAN BERNARDINO,CA,06071,40140.0,"Riverside-San Bernardino-Ontario, CA",05460,CALIFORNIA,SAN BERNARDINO
SAN DIEGO,CA,06073,41740.0,"San Diego-Chula Vista-Carlsbad, CA",05470,CALIFORNIA,SAN DIEGO
SAN FRANCISCO,CA,06075,41884.0,"San Francisco-San Mateo-Redwood City, CA",05480,CALIFORNIA,SAN FRANCISCO
SAN JOAQUIN,CA,06077,44700.0,"Stockton, CA",05490,CALIFORNIA,SAN JOAQUIN
SAN LUIS OBISPO,CA,06079,42020.0,"San Luis Obispo-Paso Robles, CA",05500,CALIFORNIA,SAN LUIS OBISPO
SAN MATEO,CA,06081,41884.0,"San Francisco-San Mateo-Redwood City, CA",05510,CALIFORNIA,SAN MATEO
SANTA BARBARA,CA,06083,42200.0,"Santa Maria-Santa Barbara, CA",05520,CALIFORNIA,SANTA BARBARA
SANTA CLARA,CA,06085,41940.0,"San Jose-Sunnyvale-Santa Clara, CA",05530,CALIFORNIA,SANTA CLARA
SANTA CRUZ,CA,06087,42100.0,"Santa Cruz-Watsonville, CA",05540,CALIFORNIA,SANTA CRUZ
SHASTA,CA,06089,39820.0,"Redding, CA",05550,CALIFORNIA,SHASTA
SIERRA,CA,06091,,,05560,CALIFORNIA,SIERRA
SISKIYOU,CA,06093,,,05570,CALIFORNIA,SISKIYOU
SOLANO,CA,06095,46700.0,"Vallejo, CA",05580,CALIFORNIA,SOLANO
SONOMA,CA,06097,42220.0,"Santa Rosa-Petaluma, CA",05590,CALIFORNIA,SONOMA
STANISLAUS,CA,06099,33700.0,"Modesto, CA",05600,CALIFORNIA,STANISLAUS
SUTTER,CA,06101,49700.0,"Yuba City, CA",05610,CALIFORNIA,SUTTER
TEHAMA,CA,06103,,,05620,CALIFORNIA,TEHAMA
TRINITY,CA,06105,,,05630,CALIFORNIA,TRINITY
TULARE,CA,06107,47300.0,"Visalia, CA",05640,CALIFORNIA,TULARE
TUOLUMNE,CA,06109,,,05650,CALIFORNIA,TUOLUMNE
VENTURA,CA,06111,37100.0,"Oxnard-Thousand Oaks-Ventura, CA",05660,CALIFORNIA,VENTURA
YOLO,CA,06113,40900.0,"Sacramento-Roseville-Folsom, CA",05670,CALIFORNIA,YOLO
YUBA,CA,06115,49700.0,"Yuba City, CA",05680,CALIFORNIA,YUBA
STATEWIDE,CA,06990,,,,,
ADAMS,CO,08001,19740.0,"Denver-Aurora-Lakewood, CO",06000,COLORADO,ADAMS
ALAMOSA,CO,08003,,,06010,COLORADO,ALAMOSA
ARAPAHOE,CO,08005,19740.0,"Denver-Aurora-Lakewood, CO",06020,COLORADO,ARAPAHOE
ARCHULETA,CO,08007,,,06030,COLORADO,ARCHULETA
BACA,CO,08009,,,06040,COLORADO,BACA
BENT,CO,08011,,,06050,COLORADO,BENT
BOULDER,CO,08013,14500.0,"Boulder, CO",06060,COLORADO,BOULDER
BROOMFIELD,CO,08014,19740.0,"Denver-Aurora-Lakewood, CO",06630,COLORADO,BROOMFIELD
CHAFFEE,CO,08015,,,06070,COLORADO,CHAFFEE
CHEYENNE,CO,08017,,,06080,COLORADO,CHEYENNE
CLEAR CREEK,CO,08019,19740.0,"Denver-Aurora-Lakewood, CO",06090,COLORADO,CLEAR CREEK
CONEJOS,CO,08021,,,06100,COLORADO,CONEJOS
COSTILLA,CO,08023,,,06110,COLORADO,COSTILLA
CROWLEY,CO,08025,,,06120,COLORADO,CROWLEY
CUSTER,CO,08027,,,06130,COLORADO,CUSTER
DELTA,CO,08029,,,06140,COLORADO,DELTA
DENVER,CO,08031,19740.0,"Denver-Aurora-Lakewood, CO",06150,COLORADO,DENVER
DOLORES,CO,08033,,,06160,COLORADO,DOLORES
DOUGLAS,CO,08035,19740.0,"Denver-Aurora-Lakewood, CO",06170,COLORADO,DOUGLAS
EAGLE,CO,08037,,,06180,COLORADO,EAGLE
ELBERT,CO,08039,19740.0,"Denver-Aurora-Lakewood, CO",06190,COLORADO,ELBERT
EL PASO,CO,08041,17820.0,"Colorado Springs, CO",06200,COLORADO,EL PASO
FREMONT,CO,08043,,,06210,COLORADO,FREMONT
GARFIELD,CO,08045,,,06220,COLORADO,GARFIELD
GILPIN,CO,08047,19740.0,"Denver-Aurora-Lakewood, CO",06230,COLORADO,GILPIN
GRAND,CO,08049,,,06240,COLORADO,GRAND
GUNNISON,CO,08051,,,06250,COLORADO,GUNNISON
HINSDALE,CO,08053,,,06260,COLORADO,HINSDALE
HUERFANO,CO,08055,,,06270,COLORADO,HUERFANO
JACKSON,CO,08057,,,06280,COLORADO,JACKSON
JEFFERSON,CO,08059,19740.0,"Denver-Aurora-Lakewood, CO",06290,COLORADO,JEFFERSON
KIOWA,CO,08061,,,06300,COLORADO,KIOWA
KIT CARSON,CO,08063,,,06310,COLORADO,KIT CARSON
LAKE,CO,08065,,,06320,COLORADO,LAKE
LA PLATA,CO,08067,,,06330,COLORADO,LA PLATA
LARIMER,CO,08069,22660.0,"Fort Collins, CO",06340,COLORADO,LARIMER
LAS ANIMAS,CO,08071,,,06350,COLORADO,LAS ANIMAS
LINCOLN,CO,08073,,,06360,COLORADO,LINCOLN
LOGAN,CO,08075,,,06370,COLORADO,LOGAN
MESA,CO,08077,24300.0,"Grand Junction, CO",06380,COLORADO,MESA
MINERAL,CO,08079,,,06390,COLORADO,MINERAL
MOFFAT,CO,08081,,,06400,COLORADO,MOFFAT
MONTEZUMA,CO,08083,,,06410,COLORADO,MONTEZUMA
MONTROSE,CO,08085,,,06420,COLORADO,MONTROSE
MORGAN,CO,08087,,,06430,COLORADO,MORGAN
OTERO,CO,08089,,,06440,COLORADO,OTERO
OURAY,CO,08091,,,06450,COLORADO,OURAY
PARK,CO,08093,19740.0,"Denver-Aurora-Lakewood, CO",06460,COLORADO,PARK
PHILLIPS,CO,08095,,,06470,COLORADO,PHILLIPS
PITKIN,CO,08097,,,06480,COLORADO,PITKIN
PROWERS,CO,08099,,,06490,COLORADO,PROWERS
PUEBLO,CO,08101,39380.0,"Pueblo, CO",06500,COLORADO,PUEBLO
RIO BLANCO,CO,08103,,,06510,COLORADO,RIO BLANCO
RIO GRANDE,CO,08105,,,06520,COLORADO,RIO GRANDE
ROUTT,CO,08107,,,06530,COLORADO,ROUTT
SAGUACHE,CO,08109,,,06540,COLORADO,SAGUACHE
SAN JUAN,CO,08111,,,06550,COLORADO,SAN JUAN
SAN MIGUEL,CO,08113,,,06560,COLORADO,SAN MIGUEL
SEDGWICK,CO,08115,,,06570,COLORADO,SEDGWICK
SUMMIT,CO,08117,,,06580,COLORADO,SUMMIT
TELLER,CO,08119,17820.0,"Colorado Springs, CO",06590,COLORADO,TELLER
WASHINGTON,CO,08121,,,06600,COLORADO,WASHINGTON
WELD,CO,08123,24540.0,"Greeley, CO",06610,COLORADO,WELD
YUMA,CO,08125,,,06620,COLORADO,YUMA
STATEWIDE,CO,08990,,,,,
FAIRFIELD,CT,09001,14860.0,"Bridgeport-Stamford-Norwalk, CT",07000,CONNECTICUT,FAIRFIELD
HARTFORD,CT,09003,25540.0,"Hartford-East Hartford-Middletown, CT",07010,CONNECTICUT,HARTFORD
LITCHFIELD,CT,09005,,,07020,CONNECTICUT,LITCHFIELD
MIDDLESEX,CT,09007,25540.0,"Hartford-East Hartford-Middletown, CT",07030,CONNECTICUT,MIDDLESEX
NEW HAVEN,CT,09009,35300.0,"New Haven-Milford, CT",07040,CONNECTICUT,NEW HAVEN
NEW LONDON,CT,09011,35980.0,"Norwich-New London, CT",07050,CONNECTICUT,NEW LONDON
TOLLAND,CT,09013,25540.0,"Hartford-East Hartford-Middletown, CT",07060,CONNECTICUT,TOLLAND
WINDHAM,CT,09015,49340.0,"Worcester, MA-CT",07070,CONNECTICUT,WINDHAM
STATEWIDE,CT,09990,,,,,
KENT,DE,10001,20100.0,"Dover, DE",08000,DELAWARE,KENT
NEW CASTLE,DE,10003,48864.0,"Wilmington, DE-MD-NJ",08010,DELAWARE,NEW CASTLE
SUSSEX,DE,10005,41540.0,"Salisbury, MD-DE",08020,DELAWARE,SUSSEX
STATEWIDE,DE,10990,,,,,
THE DISTRICT,DC,11001,47894.0,"Washington-Arlington-Alexandria, DC-VA-MD-WV",09000,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA
ALACHUA,FL,12001,23540.0,"Gainesville, FL",10000,FLORIDA,ALACHUA
BAKER,FL,12003,27260.0,"Jacksonville, FL",10010,FLORIDA,BAKER
BAY,FL,12005,37460.0,"Panama City, FL",10020,FLORIDA,BAY
BRADFORD,FL,12007,,,10030,FLORIDA,BRADFORD
BREVARD,FL,12009,37340.0,"Palm Bay-Melbourne-Titusville, FL",10040,FLORIDA,BREVARD
BROWARD,FL,12011,22744.0,"Fort Lauderdale-Pompano Beach-Sunrise, FL",10050,FLORIDA,BROWARD
CALHOUN,FL,12013,,,10060,FLORIDA,CALHOUN
CHARLOTTE,FL,12015,39460.0,"Punta Gorda, FL",10070,FLORIDA,CHARLOTTE
CITRUS,FL,12017,26140.0,"Homosassa Springs, FL",10080,FLORIDA,CITRUS
CLAY,FL,12019,27260.0,"Jacksonville, FL",10090,FLORIDA,CLAY
COLLIER,FL,12021,34940.0,"Naples-Marco Island, FL",10100,FLORIDA,COLLIER
COLUMBIA,FL,12023,,,10110,FLORIDA,COLUMBIA
DE SOTO,FL,12027,,,10130,FLORIDA,DESOTO
DIXIE,FL,12029,,,10140,FLORIDA,DIXIE
DUVAL,FL,12031,27260.0,"Jacksonville, FL",10150,FLORIDA,DUVAL
