60810001131292801500121523910000004231211211&3000001121013720         41 4331523
608A0008122100-0000000005555555505000005000005000005000005005000000000000001  31
608B00081000791150050000050005000000000209                                    31
608N00085-000200520000005010500&5000005000050000005000005000000&250500000555  31
608S00083010114026350000126350005000500050003365445000295731200000005        131
608T000811000791150000000000000000003232 0263                                131
6081000913130280150012152391000000632121121264000004121003720         41 4435623
60820009000000000000000005000040070000554 0000000000000000000000000          123
608300095111610011200-6100692021000050000005000000                            23
6084000912225031510000000000000000000050000500005000000151870                 23
60850009500000000000000000000000000000000000000000000000000000000             23
60860009500005000000000000000                                                 23
6087000955000009000070000001200950000000355                                   23
6089000910600005000000000000015150006075625006885140076004750005387560799     23
608A0009122100-0000000005555515115000005000005000725004505335000522001200926  23
608B00091001331110150067050005000000000309                                    23
608N0009500021125500306255825035500000518705000000500000500670&0350502540555  23
608S00093022450000000000000000000000000050006075655000538761430005225        123
608T000911001331112225031510000000005040 0000                                123
6081001017525180120011150071000000741111325002000002110206613         42 4652446
60820010251000020090500005000010000400102 1200090000000000051200060          146
60830010112715003000046400305500000050000001210300                            46
6084001050000000000000000000000000000000000500005000000120000                 46
60850010500000000000000000000000000000000000000000000000000000000             46
60860010500001030005700000000                                                 46
6087001059000006000040100002000200000000415                                   46
608900105000000100030000000000515000353042500438412-000003650003092541065     46
608A0010----00-0010010005555515505000005000005020005000005555002000005005748  46
608B00101001401110150015050005000000000309                                    46
608N00105003575059036950586&5&0051200050000502280050000050015098257534950555  46
608S00103020250000000000000000000000000050003530445000309241250020005        146
608T001011001401150000000000000000005038 0000                                146
6081001117511160110011150071000000622111225002000003121016613         42 3234447
60820011216005000050500005000010000500102 0500090000000000030500040          147
6083001113--00003000046452305500000050000001270050                            47
6084001111223923500000000000000000000000000500005000000120150                 47
60850011175000500000005000010270500005100500005201015546----05205             47
60860011500002030005400000000                                                 47
6087001157000006000050000000000000600000155                                   47
6089001110390005000000000000005150003900425005085120038653450003392540666     47
608A0011122226-0000000005155515115001285000005000105008005315000938101302437  47
608B00111001311150050000050005000000000309                                    47
608N001150005933570060885666515250500050150500000050000050000087256505150555  47
608S00113020217052010270500050005000500050003900455000339241230009385        147
608T001111001311111223923500000000005033 0520                                147
6081001217522180120011150071000000-61221115001000005421006613         42 4-66246
60820012000000000000000005000040020000521 0000000000000000000000000          146
60830012955300003000021739305500000050000005000000                            46
6084001250000000000000000000000000000000000500005000000880000                 46
60850012500000000000000000000000000000000000000000000000000000000             46
60860012500005000000000000000                                                 46
6087001258000002000030000000000000000000055                                   46
6089001210059005000000210028325150001305215000000110010111250001305520322     46
608A001200000001100000005151515115000435030005010005048405635008883154568190  46
608B00125000005750050000010605052000000009                                    46
608N00125001408358014083573&5&0050000050000500000050520050000037150505200555  46
608S00123010150000000000000000000000000050001305205000130521160088835        146
608T001215000005750000000000000000005017 0000                                146
6081001315618280160011151561000000761111225002000002110-06113         42 4672223
60820013151000010015500005000010000200102 1000090000000000051000060          123
60830013555500005550045264305500000021000505000000                            23
6084001311115210524190010800484820000000000500005000000261865                 23
60850013171395500000005000050000111405000101505355000015----05205             23
60860013500001-0000-100000000                                                 23
608700135&000002000090000000000000905300015                                   23
6089001350000025000000020035005150001350215000000140019455250001350520022     23
608A0013000000012-000000515151550501000503300507000500000575501130045608379&  23
608B00135000005710250000010605050000000009                                    23
608N0013100813655&081365196&5&0051000051865104790050500050000080157164765511  23
608S00133020217053550000500013955000114050001350205000135021470113005        123
608T001315000005711115210521900108005017 0520                                123
6081001417509160110011150071000000751111225002000005421006613         42 3656347
60820014000000000000000005000010000300102 0550090000000000030550040          147
60830014111100003000031718305500000010500101710250                            47
6084001450000000000000000000000000000000000500005000000880000                 47
60850014500000000000000000000000000000000000000000000000000000000             47
60860014500001013000000030000                                                 47
6087001457000005000010000000000000000000055                                   47
6089001410296805000000000000005150002968315003264120026002350002642530554     47
608A001400000001200000005155515505034165000005005005000005555003916503013279  47
608B00141000601150050000050005000000000209                                    47
608N001450009416570094165648531750550050000500000050000050000058156505500555  47
608S00143020250000000000000000000000000050002968345000264231250039165        147
608T001411000601150000000000000000005022 0000                                147
6081001515804150110011151301000000222111121466000004121008413         43 3405544
60820015000000000000000005000040040000546 0000000000000000000000000          144
60830015556151009000045&002-5311500050000005000000                            44
6084001511225012525150010250424831120000000500005000000121195                 44
6085001514500050000000500001022950000500050000229101944-----02293             44
60860015500005000000000000000                                                 44
6087001552000006000030000000000000800000455                                   44
6089001510400005000000000000005150004000525000000160034002450004000550667     44
608A0015122182-0000000005555555505000005000005000005000005005000000000000001  44
608B00151000661150050000050005000000000209                                    44
608N00155-000199520011955310500&5000005119550000005000005000000&250501195555  44
608S00153024614022910229500050005000500050004000505000400051600000005        144
608T001511000661111225012521500102505033 0229                                144
60810016158321901300111513010000004121111212&4000004221008413         43 5315547
60820016000000000000000005000010000815104 0380050300000300020080028          147
608300161112000011100---00545500000050000005000000                            47
6084001611224810510000000000000000000010150500005000000110905                 47
608500161450005000000050000100401507551005000025510175456---02553             47
60860016500001010030000000000                                                 47
6087001654000007021010000031000400300000655                                   47
6089001610420005000000000000005150004200515003014140035002450003899540677     47
608A0016111200-0000000005555515505000005000005000155000005155000015001000114  47
608B00161001251110250000050005000000000309                                    47
608N0016500007855400472055815019503800509055000000500000500000&0255504705555  47
608S00163022414025510040500050005000107550004200545000389941410000155        147
608T001611001251111224810510000000005039 0255                                147
60810017166026601-001115213500000006122111500100000&&00006313         22 3747327
60820017153000010010500005000010000500101 0900090000000000040900050          127
60830017330000009350090000445500000050000001210300                            27
6084001711115013500000000000000000000000000500005000000991235                 27
60850017500000000000000000000000000000000000000000000000000000000             27
60860017500005000000000000000                                                 27
6087001759000003000020000000000000000000055                                   27
608900175000000500000050020000515000200031500131312-000002250001869520033     27
608A001700000002200000005555515505000005000005010005000005455001000004005047  27
608B00175000005750050000010605200000000009                                    27
608N00175003123559031235586&5&0050900051235500000052000050000097156530235555  27
608S00173010150000000000000000000000000050002000335000186921240010005        127
608T001715000005711115013500000000005021 0000                                127
6081001814404640101011150565070100752111121426000005421005613         22 2506427
60820018&0000000000000000-00004006500&556 000000000000-000000000000          127
608300185161115-121004650030550000005000000-000000                            27
6084001850000000000000000000000000000000000-0000-000000990000                 27
6085001813500050000000500005000050000510010400190100896-----01502             27
60860018500005000000000000000                                                 27
6087001852000006000040000000000000200000155                                   27
608900181035000500000000000000515000350041500000016-000003450003500540666     27
608A00181115-000000000005555555505000005000005000005000005005000000000000001  27
608B00181000501150050000050005000000000209                                    27
608N00185-000089520000005010500&5000005000050000005000005000000&250500000555  27
608S00183024613019050000500050005000500050003500405000350041600000005        127
608T00181100050115000000000000000000-032 0150                                127
6081001914450640101012150565000000522111121244000003121015613         22 2314627
60820019&0000000000000000-00004004500&544 000000000000-000000000000          127
6083001911140000119002201830101-00005000000-000000                            27
6084001911224031525035010200415035000000000500005000000990210                 27
6085001913500050000000500005000011106500010200106100705-----00861             27
60860019500005000000000000000                                                 27
6087001952&02368002540000013000136300000255                                   27
608900191047000500000000000003515000530062500401414-000003450004899550689     27
608A0019122100-0000000005555555115000005000005000005000015135000001000100113  27
608B00191000501150050000050005000000000209                                    27
608N00195-000256520002115110500&5000005021050000005000005000000&350500210555  27
608S00193022413010650000500050005000110650005300645000489951410000015        127
608T001911000501111224031520350102005044 0086                                127
6081002016624160110011152131000000041221125002000002410006409         42 3732247
60820020000000000000000005000040035000532 0000000000000000000000000          147
60830020111516003000090000545500000050050000000000                            47
6084002050000000000000000000000000000000000500005000000880000                 47
6085002013500050000000500005000050000510050000125500006-----01252             47
60860020500001020040040000000                                                 47
6087002054000002000010000000000000200000055                                   47
608900205000000100550000000003515000113422500000012-000002150001134523022     47
608A002000000001200000005555515505000005000005005005000005355000500003004446  47
608B00201000181150050000050005000000000109                                    47
608N002050000500540005005202504450000050000500000050000050000000150500000555  47
608S00203020213012550000500050005000500050001134205000113421230005005        147
608T002011000181150000000000000000005011 0125                                147
608100211583129015001115130100000006122111500100000&&00008409         43 5737223
60820021000000000000000005000010000606101 0940060650000650040290037          123
60830021555500009000046400-05500000010075205000000                            23
6084002150000000000000000000000000000000000500005000000880000                 23
60850021500000000000000000000000000000000000000000000000000000000             23
60860021500005000000000000000                                                 23
6087002119000002000860000010000000000000855                                   23
6089002150000005000000400119205150001192215000000120012003250001192520022     23
608A002100000001100000005155515505002565000005003005000005355000556202004746  23
608B00211000361150050000010401226250000109                                    23
608N00211002607319032581188&5&00509400500005000000122625500000&0156132025551  23
608S00213010150000000000000000000000000050001192205000119221230005565        123
608T002111000361150000000000000000005016 0000                                123
608100221675820019001125113100000063311&1219&9000008880004909         44 5338324
60820022&0000000000000000-0000-000000-9-- 0000000000000000000000000          524
6083002238--00008000046157308000000050000005000000                            24
6084002211114610460000000000000000000000000500005000000990660                 24
60850022500000000000000000000000000000000000000000000000000000000             24
60860022500005000000000000000                                                 24
6087002258000004000000000000000000000000055                                   24
608900225000005800000000000000515000260031500000019002500335000260053&044     24
608A002200000006300000005555555115000005000005000005005005355000500000301926  24
608B00225000005750050000050005000000000009                                    24
608N002250011960580119605768546051080050660500000050000050000096157511460555  24
608S00223029950000000000000000000000000050002600305000260031930005005        124
608T002215000005711114610460000000005028 0000                                124
6081002317531180120011150071000000222111425002000003121016609         42 4244546
60820023000000000000000005000040035000532 0000000000000000000000000          146
60830023131&00005540045200305500000050000005000000                            46
6084002312323612521-00050000000010000050000500002118001001605                 46
60850023125000500000005000050000500005-0050000017500009-----00171             46
60860023500001020004300000000                                                 46
6087002355000008000030000000000000-00005155                                   46
608900231049000500000000000000515000492552500718512-000001350004207550688     46
608A0023122622-0000000005155515115000215000005002205011455415001386102402838  46
608B00231001271150050000050005000000000309                                    46
608N002350002996550029965443506150000051605500000050000050000054250501605555  46
608S00233020212001750000500050005000500050004925555000420751240013865        146
608T00231100127111232361252-000500002149 0017                                146
608100241741516012001115143100000-063221115001000003121006509         42 3744247
60820024000000000000000005000010000100101 0200090000000000010200020          147
60830024355200009000033900305500000050000005000000                            47
6084002450000000000000000000000000000000000500005000000880000                 47
60850024500000000000000000000000000000000000000000000000000000000             47
60860024500005000000000000000                                                 47
6087002418000003000030000000000000000000055                                   47
608900241005300500000030008402515000173021500006112-000002250001724520333     47
608A002400000001200000005155555145008545000005000005006255435001479300308568  47
608B00245000005750050000010401134400000009                                    47
608N002410016919180169191769197850200050000500000011344050000091154115440511  47
608S00243010150000000000000000000000000050001730215000172421240014795        147
608T002415000005750000000000000000005011 0000                                147
6081002515013150140011151011000000643111225002000001121008209         43 3601544
60820025000000000000000005000040070000552 0000000000000000000000000          144
6083002513220000117005--00125500000050000005000000                            44
6084002550000000000000000000000000000000000500005000000520000                 44
6085002516500050000000114505000050000500010500450102002-----04004             44
60860025500001023904-00001200                                                 44
6087002552000008000040000000000000500000255                                   44
6089002510485005000000000000005150004850515006985120047003550004152550687     44
608A002511120010000000005555555505000005000005000005000005005000000000000001  44
608B00251000501150050000050005000000000209                                    44
608N00255-000400520000005010500&5000005000050000005000005000000&250500000555  44
608S00253020216045050000500050001450500050004850555000415251200000005        144
608T002511000501150000000000000000005044 0400                                144
6081002615962190190011251141000000631112121325000008880008309         43 5308245
60820026&0000000000000000-0000-000000-9-- 0000000000000000000000000          545
6083002638--00008000046500128000000050000005000000                            45
6084002611223913525015050000000041006500000500001203004000150                 45
60850026500000000000000000000000000000000000000000000000000000000             45
60860026500005000000000000000                                                 45
6087002653000002000300000010000000200000155                                   45
608900265000004800000000000000515000142621500000015-00000425000142652&022     45
608A002600000001100000005555555505000005000005000005000005005000000000000001  45
608B00265000005750050000050005000000000009                                    45
608N0026500001225300019051815009500040501505000000500000500000&0151500190555  45
608S00263023550000000000000000000000000050001426205000142621500000005        145
608T002615000005711223913520150500001217 0000                                145
6081002718757100190011250551000000632111221476000008880004709         44 5438647
60820027&0000000000000000-0000-000000-9-- 0000000000000000000000000          547
60830027585500008000025239308000000050000005000000                            47
6084002711114910490000000000000000000000000500005000000991125                 47
60850027500000000000000000000000000000000000000000000000000000000             47
60860027500005000000000000000                                                 47
6087002759000009000000000000000000000000955                                   47
608900271003257800000000000000515000581462500311416002500135000550356&299     47
608A0027218500-0000000005155515505004275000005002005000005355000627202001127  47
608B00271001401150050000050005000000000309                                    47
608N0027500252175903361758885434531865511255000000500000500000&0358532990555  47
608S00273024650000000000000000000000000050005814645000550361630006275        147
608T002711001401111114910490000000005040 0000                                147
6081002818758100190011250551000000642111221163000008880004709         44 5528247
60820028&0000000000000000-0000-000000-9-- 0000000000000000000000000          547
60830028585&67008000043261308000000050000005000000                            47
608400285000000000000000000000000000000000050000121200-000000                 47
60850028500000000000000000000000000000000000000000000000000000000             47
60860028500001035000050000000                                                 47
6087002858000002000000000000000000000000555                                   47
608900285000004800000000000000515000158521500000013005800565000158552&023     47
608A002800000002200000005555515505000005000005004505000005255000450002002836  47
608B00281000301150050000050005000000000109                                    47
608N0028500149505801775057895943517300500005000000500000500000&0157517300555  47
608S00283021350000000000000000000000000050001585205000158521320004505        147
608T002811000301150000000000000000001217 0000                                147
60810029158192501500111513110000005231111211&3000003121008409         43 3354428
60820029000000000000000005000040070000553 0000000000000000000000000          128
60830029330000001110021&00542011000050000005000000                            28
6084002911114913490000000000000000000000000500005000000120930                 28
6085002914500050000000500005000015212500050000212500005-----02123             28
60860029500001050060000000000                                                 28
6087002956000006000070000000000000300000055                                   28
6089002910350005000000020040005150003900415003754130057005650003525540666     28
608A002911151&10000000005155515115025625000005010005002005555003762504209669  28
608B00291001501150050000050005000000000309                                    28
608N002950004692560046925535512050000050930500000050000050000020250500930555  28
608S00293021314021250000500050005000121250003900445000352541350037625        128
608T002911001501111114913490000000005033 0212                                128
6081003015820150110011151311000000741111221274000004121008410         43 3505244
60820030000000000000000005000040040000544 0000000000000000000000000          144
60830030536253001--0090000125500000050000005000000                            44
6084003011223610525008550000000041008500000500005000000880100                 44
60850030500000000000000000000000000000000000000000000000000000000             44
60860030500001013700000030000                                                 44
6087003053000002000010000000000000100000155                                   44
6089003010135005000000000000005150001350215000000140008001150001350520422     44
608A003000000001100000005555555505000005000005000005000005005000000000000001  44
608B00301000671150050000050005000000000209                                    44
608N0030500000155300010051815001500000501005000000500000500000&0150500100555  44
608S00303022450000000000000000000000000050001350205000135021400000005        144
608T003011000671111223610520085500005011 0000                                144
6081003113040170110012151341000000622121121274000003121018810         43 4454647
60820031151000010017500005000040075000564 0000000000000000000000000          147
60830031112311141110022021545500000050000005000000                            47
6084003111115013500000000000000000000000000500002123507001235                 47
60850031500000000000000000000000000000000000000000000000000000000             47
60860031500001027500040000000                                                 47
6087003156000009000010000000000000000000055                                   47
6089003110698005000000000000005150006980625008665140050001650006114560790     47
608A0031122100-0000000005155515505012815000005010005000005555002281404003339  47
608B00311002751150050000050005000000000409                                    47
608N003150003516560035165533505050000051235500000050000050000035350501235555  47
608S00313022450000000000000000000000000050006980655000611461450022815        147
608T003111002751111115013500000000002150 0000                                147
6081003218059190190011152211000000763111125002000009221007310         43 5650145
60820032771800058500500005000010000100102 2500090000000000072500080          145
60830032556261575590021639305500000011500805000000                            45
6084003211115123510000000000000000000050000500005000000111590                 45
60850032500000000000000000000000000000000000000000000000000000000             45
60860032500005000000000000000                                                 45
6087003259000001000090000000000000012500055                                   45
608900321004000500000000000002515000071811500000004-000004250000718510211     45
608A003200000001200000005155515505012815000005012005000005555002481404034699  45
608B00321002001150050000050005000000000409                                    45
608N00325004157159041571585&5&0052500051590500000050000050000064158526590555  45
608S00323020250000000000000000000000000050000718105000071810450024815        145
608T003211002001111115123510000000005016 0000                                145
6081003317921270140011150961000000631111231164000004121007710         43 4425523
60820033000000000000000005000040040000544 0000000000000000000000000          123
60830033311161009310045200303020500050000005000000                            23
6084003312223710524010050000000010000000000500005000000520325                 23
60850033500000000000000000000000000000000000000000000000000000000             23
60860033500005000000000000000                                                 23
6087003353000007000020000001000085200000155                                   23
6089003310420005000000000000005150004200515004354130039002450003765540677     23
608A0033128500-0000000005555515505000005000005002005000005255000200002000525  23
608B00331001661150050000050005000000000309                                    23
608N003350000440530005255251501050000050325500000050000050000074250500325555  23
608S00333031450000000000000000000000000050004200545000376541320002005        123
608T003311001661112223710520100500005039 0000                                123
6081003411211320172111150421000000523111325002000003121013110         41 1234612
60820034471012020215500001015010000607102 1200070890050905050295038          112
60830034111100003310022118305500000050000001230500                            12
6084003411225010510000000000000000000050000500005000000111275                 12
60850034500000000000000000000000000000000000000000000000000000000             12
60860034500001040000060000000                                                 12
6087003416000009003010000010000000000000955                                   12
608900341065800500000000000000515000658062501060612-000002550005520560799     12
608A0034213200-0000000005555511145000005000005001501005771351000727001301127  12
608B00341000241110250000050005000000000109                                    12
608N0034100049221601400217841075512000512755000000500000500000&0357113275555  12
608S003430202500000000000000000000000000500065806650005520612-0007275        112
608T003411000241111225010510000000005055 0000                                112
6081003514602140111011150211000000522112221325000004221015810         42 2305546
60820035614070000700102705000010000502105 0700090000000027030673041          146
60830035316311001114043432555310850050000005000000                            46
6084003550000000000000000000000000000000000500005000000550000                 46
608500351&5000500000005000050000500005-005000-000500009------000-             46
60860035102005000000000000000                                                 46
6087003557000007004010000010000000-00000355                                   46
608900351044570500000000000002515000464952500228415-000002450004421550678     46
608A0035122600-0000000005555555505000005000005000005000005005000000000000001  46
608B00351001731150050000050005000000000309                                    46
608N0035500064905700700056855140507000500005000000500000500000&0256507000555  46
608S0035302351&-00050000500050005000500050004649545000442151500000005        146
608T003511001731150000000000000000005043 -000                                146
608100361560126125001115156100000005122112113300000&&00006110         42 3927226
60820036271004310066500005000010000705103 1000050300000300050700044          126
608300363114122290000-61593055000000-0000005000000                            26
6084003611224812523100010316424931031000000500005000000600770                 26
6085003612500050000000500005000015079500050000079100605-----00791             26
60860036500005000000000000000                                                 26
6087003617000003000080000000000000700000655                                   26
6089003610083205000002000000035150001612225000000130022005350001612520333     26
608A003600000001100000001155555111001935000005000005002001251000393100202436  26
608B00361001181150050000050005000000000309                                    26
608N0036100077931701116317881483510000507705000000500000500000&0157110770555  26
608S003631213120079500005000500050001079500016122050001612213-0003935        126
608T003611001181111224812521000103165011 0079                                126
6081003715601262150011151561000000061111215001000009800006110         42 3700127
60820037000000000000000005000040022000621 0000000000000000000000000          127
6083003751166100900002--00195500000050000005000000                            27
6084003750000000000000000000000000000000000500005000000880000                 27
60850037500000000000000000000000000000000000000000000000000000000             27
60860037500005000000000000000                                                 27
6087003753000001000020000000000000000350055                                   27
6089003750000005000000000000035150000510115000000020004562150000510510011     27
608A003700000009900000005555555505000005000005000005000005005000000000000001  27
608B00375000005750050000050005000000000009                                    27
608N003750000350530003505103506950000050000500000050000050000000150500000555  27
608S00373210150000000000000000000000000050000510105000051010200000005        127
608T003715000005750000000000000000005011 0000                                127
6081003816632160110012152131000000742121121375000004121006410         42 3545747
60820038000000000000000005000040045000545 0000000000000000000000000          147
608300381123110011100-6100301011500050000005000000                            47
6084003811114810480000000000000000000000000500005000000130905                 47
60850038500000000000000000000000000000000000000000000000000000000             47
60860038500001050060000000000                                                 47
6087003857000000000010000000000000000000055                                   47
6089003810409201041000000000005150008192735008885240050001650007304566600     47
608A003811541510000000005555515145000005000005000485016185435001666001402038  47
608B00381008001150050000010505030000000509                                    47
608N003850005571570055715653506850000050905500000050300050000070350503905555  47
608S00383023550000000000000000000000000050008192755000730462440016665        147
608T003811008001111114810480000000005055 0000                                147
6081003918412280150011151691000000752111225002000005121006810         42 4616323
60820039000000000000000005000010000400102 0300090000000000020300030          123
60830039111261659410076100545500000050000005000000                            23
6084003950000000000000000000000000000000000500005000000880000                 23
60850039500000000000000000000000000000000000000000000000000000000             23
60860039500005000000000000000                                                 23
6087003956000003000080000000000000000000055                                   23
608900391020000500000000000000515000200031500131312-000004250001869520533     23
608A003900000001200000005155555505000215000005000005000005155000021100000114  23
608B00391000351150050000050005000000000109                                    23
608N003950003021560030215566515150300050000500000050000050000099155503000555  23
608S00393020250000000000000000000000000050002000335000186921210000215        123
608T003911000351150000000000000000005027 0000                                123
6081004016759200190011251131000000741111125002000008880004918         44 5648424
60820040&0000000000000000-0000-000000-9-- 0000000000000000000000000          524
60830040182700008000022115308000000050000001111500                            24
6084004012114923490000000000000000000000000138385000000131135                 24
6085004014500050000000500001023550000500050000235500004-----02353             24
60860040500001-0000--00000000                                                 24
6087004058000006000000000000000000300000055                                   24
608900405000005800000004010800515000397041500528512006500565000344254&066     24
608A0040122100-0000000005555515115000005000005010225001295415001151004102938  24
608B00405000001250050000050005000000000809                                    24
608N004050024986580249865769562952270051135500000050000050000095257523835555  24
608S00403020214023510235500050005000500050003970455000344241240011515        124
608T004015000001212114923490000000005039 0235                                124
6081004113331260140012150981000000742121125002000004221003918         41 3655626
60820041351000030100500005000010000402102 1800020030000030061770071          126
608300415-5300003413346553305500000050000005000000                            26
60840041111151205100000000000000000000-0000500005000000611835                 26
60850041171300500000005000050000500005100500005205000016----05205             26
60860041500005000000000000000                                                 26
60870041580000000000-0000000000000600400255                                   26
6089004110600005000000300060035150007306625010856120080004750006221560700     26
608A0041111500-0000000005555555165000005000005000005027005535002700000503739  26
608B00411001251150050000050005000000000309                                    26
608N004150022635580229355768531051800051835500000050000050000088357519835555  26
608S00413020217052050000500013005000500050007306665000622161250027005        126
608T004111001251111115120510000000005055 0520                                126
6081004215606260160011151561000000632111221264000002110-06118         42 3422526
60820042151000010045500005000010000606104 1650060600000600061050064          126
608300425555690033540-65005-5500000010150101510075                            26
6084004211224023500000000000000000000000000500005000000110205                 26
60850042500000000000000000000000000000000000000000000000000000000             26
60860042100755000000000000000                                                 26
6087004259000007000030350002000100000000915                                   26
6089004250000005000000300050005150004600515003814140035001450004219550078     26
608A0042122122-0010002005155555505003205000005000005000005255000320200000726  26
608B00421001151150050000010105160000000309                                    26
608N0042500293505903902558895638516500502055006000516000500000&0257538705555  26
608S00423022450000000000000000000000000050004600545000421951420003205        126
608T004211001151111224023500000000005043 0000                                126
6081004315828290150011151311000000632111121173000002110218418         43 5432723
60820043000000000000000001068710000607103 1250070830050898760351338          123
6083004313230000115002--00305500000010100105000000                            23
6084004312115131521320911749494931150000000500001135007003790                 23
60850043500000000000000000000000000000000000000000000000000000000             23
60860043500003045006900000000                                                 23
6087004359000000000010712502001600800000&15                                   23
6089004350000005000000000000005150008250715013066130067002650006944560000     23
608A0043224500-0010063725155515125000855000005003895000415335000515102100626  23
608B00431011061150050000010615170000000609                                    23
